id	text
speaker_900_0000	मैं आज मेरे काम से साथ जुड़े मॉडल के कुछ एक वीडियो दिखाना चाहती हूँ
speaker_900_0001	वे सभी सही आकार में हैं और उन्मे वसा का एक औंस भी नहीं है
speaker_900_0002	क्या मैंने उल्लेख किया था वे बहुत खूबसूरत हैं
speaker_900_0003	और वे वैज्ञानिक मॉडल हैं हंसते हुए
speaker_900_0004	जैसा कि आप अंदाज़ा लगा सकते हैं मैं एक ऊतक इंजीनियर हूँ
speaker_900_0005	और यह दिल की धड़कन का एक वीडियो है
speaker_900_0006	जिसे मैंने प्रयोगशाला में बनाया है
speaker_900_0007	और हमें उम्मीद है कि एक दिन ये ऊतक
speaker_900_0008	मानव शरीर के लिए प्रतिस्थापन भागों के रूप में सेवा कर सकते हैं
speaker_900_0009	लेकिन मैं तुम्हें आज जिसके बारे में बताने जा रही हूँ
speaker_900_0010	कि कैसे इन ऊतकों से कमाल के मॉडल बनाते है
speaker_900_0011	ठीक है चलो एक पल के लिए दवा स्क्रीनिंग की प्रक्रिया के बारे में सोचते हैं
speaker_900_0012	आप दवा तैयार करने प्रयोगशाला परीक्षण पशु परीक्षण से गुजरते हैं
speaker_900_0013	और फिर नैदानिक परीक्षण जिसे आप मानव परीक्षण कह सकते हो
speaker_900_0014	दवाओं के बाजार में आने से पहले किया जाता है
speaker_900_0015	जिसमें पैसे की समय की बहुत लागत आती है
speaker_900_0016	और कभी कभी यहाँ तक कि जब एक दवा बाजार में आती है
speaker_900_0017	तो वह अप्रत्याशित रूप से भी कार्य करती है और वास्तव में लोगों को नुकसान पहुंचाती हैं
speaker_900_0018	और बाद में यह विफल रहती है तो बुरे परिणाम होते हैं
speaker_900_0019	यह सब दो मुद्दों में सिमट जाता हैं एक मनुष्य चूहे नहीं हैं
speaker_900_0020	और दो एक दूसरे के लिए हमारे अविश्वसनीय समानता के बावजूद
speaker_900_0021	तुम्हारे और मेरे बीच के वास्तव में छोटे अंतर
speaker_900_0022	बहुत प्रभावी हैं कि कैसे हम दवाओं पचाते हैं
speaker_900_0023	और वो दवाएं हमें कैसे प्रभावित करती हैं
speaker_900_0024	तो अगर हमारी प्रयोगशाला में बेहतर मॉडल होते
speaker_900_0025	जो हमें न केवल चूहों की तुलना में बेहतर नकल कर सकते हैं
speaker_900_0026	लेकिन हमारी विविधता को दर्शायें
speaker_900_0027	चलो देखते हैं कि हम इसे कैसे ऊतक इंजीनियरिंग के साथ कर सकते हैं
speaker_900_0028	महत्वपूर्ण प्रौद्योगिकियों में एक जो वास्तव में महत्वपूर्ण है
speaker_900_0029	जिसे प्रेरित pluripotent स्टेम सेल कहा जाता है
speaker_900_0030	वे बहुत हाल ही में जापान में विकसित किया गया है
speaker_900_0031	ठीक है प्रेरित pluripotent स्टेम सेल
speaker_900_0032	वे भ्रूण स्टेम कोशिकाओं की तरह बहुत कुछ कर रहे हैं
speaker_900_0033	विवाद को छोड़कर
speaker_900_0034	हम कोशिकाओं को प्रेरित करके ठीक है उदाहरण के लिए त्वचा कोशिकाएं
speaker_900_0035	उन्हे मैं कुछ जीन जोड़ कर उन्हें संवर्धन के द्वारा
speaker_900_0036	और फिर उन्हें कटाई करेंगे
speaker_900_0037	इसलिए वे त्वचा कोशिकाओं को धोखा दिया जा सकता है
speaker_900_0038	सेलुलर भूलने की बीमारी की तरह एक भ्रूण अवस्था में की तरह
speaker_900_0039	तो विवाद के बिना यह एक अच्छी बात है
speaker_900_0040	और दूसरी बात आप ऊतक के किसी भी प्रकार का विकास कर सकते हैं
speaker_900_0041	उनमें से  मस्तिष्क हृदय जिगर क्या तस्वीर आपके सामने आ रही है
speaker_900_0042	लेकिन यह सब अपने ही कोशिकाओं से
speaker_900_0043	तो हम अपने दिल अपने मस्तिष्क का एक मॉडल बना सकते हैं
speaker_900_0044	एक चिप पर
speaker_900_0045	उम्मीद के मुताबिक घनत्व और व्यवहार के ऊतक बनाना
speaker_900_0046	दूसरा भाग है और वास्तव में महत्वपूर्ण हो जाएगा इन मॉडलों को
speaker_900_0047	दवाओं की खोज के लिए अपनाने की दिशा में
speaker_900_0048	और यह एक bioreactor की रुपरेखा हैं जिसे हम प्रयोगशाला में विकसित कर रहे हैं
speaker_900_0049	अधिक मॉड्यूलर स्केलेबल रास्ते में ऊतकों को बनाने में मदद के लिए
speaker_900_0050	भविष्य में एक व्यापक समानांतर संस्करण की कल्पना कीजिये
speaker_900_0051	मानव ऊतकों के हजारों टुकड़ों के साथ
speaker_900_0052	यह एक चिप पर एक नैदानिक परीक्षण होने की तरह होगा
speaker_900_0053	लेकिन इन प्रेरित pluripotent स्टेम सेल के बारे में एक और बात
speaker_900_0054	वह यह है कि अगर हम कुछ त्वचा कोशिकाओं ले चलो मान ले
speaker_900_0055	एक आनुवांशिक बीमारी से ग्रसित लोगों से
speaker_900_0056	और हम उनके ऊतकों को इंजीनियरिंग करते हैं
speaker_900_0057	हम वास्तव में ऊतक इंजीनियरिंग तकनीक का उपयोग कर सकते हैं
speaker_900_0058	प्रयोगशाला में उन बीमारियों के मॉडल उत्पन्न करने में
speaker_900_0059	यहाँ हार्वर्ड में केविन एगान प्रयोगशाला से एक उदाहरण है
speaker_900_0060	उन्होंने न्यूरॉन्स उत्पन्न किये
speaker_900_0061	इन प्रेरित pluripotent स्टेम सेल से
speaker_900_0062	रोगियों से जो Lou Gehrig के रोग से पीड़ित है
speaker_900_0063	और वह उन्हें न्यूरॉन्स में तबदील कराते है और क्या आश्चर्यजनक है
speaker_900_0064	यह है कि ये न्यूरॉन्स भी इस रोग के लक्षण दिखाते है
speaker_900_0065	तो इस तरह के मॉडल के साथ हम वापस लड़ सकते हैं
speaker_900_0066	कभी पहले की तुलना में तेजी से और रोग बेहतर ढंग से समझने
speaker_900_0067	में पहले की तुलना में और शायद दवाओं की खोज भी तेजी से हों
speaker_900_0068	यह रोगी विशेष स्टेम कोशिकाओं का एक और उदाहरण है
speaker_900_0069	रेटिनाइटिस पिगमेंटोसा से ग्रसित ऊतक से बनाये गए थे
speaker_900_0070	यह रेटिना के अध पतन है
speaker_900_0071	यह एक रोग है जो कि मेरे परिवार में चलता है और हम सच में आशा
speaker_900_0072	करते है कि इन जैसे कोशिकाओं से हमें एक इलाज खोजने में मदद मिलेगी
speaker_900_0073	तो कुछ लोगों को लगता है कि इन मॉडलों को और अच्छी तरह से इस्तमाल किया जा सकता है
speaker_900_0074	लेकिन पूछते हैं खैर क्या ये सच में चूहे की तरह अच्छे हैं
speaker_900_0075	चूहा एक पूरा जीव है आखिर में
speaker_900_0076	अंगों के आपस में बात करते नेटवर्क के साथ
speaker_900_0077	दिल के लिए एक दवा जिगर में परिवर्तित हो सकती है
speaker_900_0078	और byproducts कुछ वसा में संग्रहित किये जा सकते है
speaker_900_0079	क्या ये सभी इन ऊतक इंजीनियरड मॉडलों के साथ नहीं होता
speaker_900_0080	खैर इस क्षेत्र में एक और प्रवृत्ति है
speaker_900_0081	Microfluidics के साथ ऊतक इंजीनियरिंग तकनीक के संयोजन के द्वारा
speaker_900_0082	क्षेत्र वास्तव में इसी दिशा में विकसित हो रहा है कि
speaker_900_0083	शरीर के पूरे पारिस्थितिकी तंत्र की एक मॉडल
speaker_900_0084	कई अंग प्रणालियों के साथ संपूर्ण यह परीक्षण करने में सक्षम हो
speaker_900_0085	कि कैसे एक दवा जो आप अपने रक्तचाप के लिये लेते हों
speaker_900_0086	आपके जिगर को प्रभावित कर सकती है या एक antidepressant आपके दिल को प्रभावित कर सकता है
speaker_900_0087	ये प्रणाली वास्तव में निर्माण करना मुश्किल हैं लेकिन हम उसे पाने के लिए सक्षम होने के लिए शुरू कर चुके हैं
speaker_900_0088	और हां तो देखते रहो
speaker_900_0089	लेकिन वह भी यह सब नहीं है क्योंकि एक बार एक दवा को मंजूरी दे दी है
speaker_900_0090	ऊतक इंजीनियरिंग तकनीक वास्तव में अधिक व्यक्तिगत उपचार विकसित करने के लिए मदद कर सकती हैं
speaker_900_0091	यह एक उदाहरण है कि आप इसके बारे में किसी दिन सोचेगे
speaker_900_0092	और मुझे आशा है कि आप कभी नहीं करे
speaker_900_0093	क्योंकि सोचियें अगर तुम्हें कभी कॉल आता है
speaker_900_0094	जो आपको बुरी खबर देता हैं कि आपको कैंसर हो सकता है
speaker_900_0095	क्या आप उन कैंसर दवाओं को परीक्षण करना नहीं चाहोंगे अगर
speaker_900_0096	आप जो लेने वाले हैं वो कैंसर पर काम करने वाली हैं
speaker_900_0097	यह करेन Burg प्रयोगशाला से एक उदाहरण है जहां वे
speaker_900_0098	inkjet प्रौद्योगिकी का उपयोग कर स्तन कैंसर की कोशिकाओं प्रिंट
speaker_900_0099	और उनके बढ़ाव और उपचार का अध्ययन कर रहे हैं
speaker_900_0100	और Tufts में हमारे सहयोगी मॉडलो को मिश्रित कर रहे हैं
speaker_900_0101	इन जैसे ऊतक इंजीनियरड हड्डी के साथ ये देखने के लिए कि
speaker_900_0102	कैसे कैंसर शरीर के एक भाग से दूसरे में फैल सकता है
speaker_900_0103	और आप बहुऊतक चिप्स के उन प्रकार की कल्पना कर सकते हैं
speaker_900_0104	जो इस प्रकार के अध्ययन की अगली पीढ़ी हो
speaker_900_0105	और मॉडल जिनकी कि हमने अभी चर्चा की है उनके बारे में सोचते है
speaker_900_0106	आप देख सकते हैं भविष्य में ऊतक इंजीनियरिंग
speaker_900_0107	वास्तव में दवा स्क्रीनिंग में क्रांतिकारी बदलाव में मदद करने वाली हैं
speaker_900_0108	पथ के हर कदम पर
speaker_900_0109	रोग मॉडल बेहतर दवा फार्मूलों के लिए बन रही है
speaker_900_0110	व्यापक समानांतर मानव ऊतकों मॉडल प्रयोगशाला परीक्षण में क्रांतिकारी बदलाव के लिए मदद के लिए
speaker_900_0111	नैदानिक परीक्षणों में जानवर और मानव परीक्षण को कम करने के लिए
speaker_900_0112	और चिकित्सा को व्यक्तिगत करने में जो बाधित
speaker_900_0113	करती हैं जो हम किसी दिन बाजार में लाने पर विचार करें
speaker_900_0114	मूलतः हम नाटकीय रूप से उस प्रतिक्रिया को तेज कर रहे हैं
speaker_900_0115	जो एक अणु के विकास और यह मानव शरीर में कैसे काम करता है के बारे में सीखने के बीच हैं
speaker_900_0116	यह करने के लिए हमारी प्रक्रिया अनिवार्य रूप से बदल रही है
speaker_900_0117	जैव प्रौद्योगिकी और औषध विज्ञान को सूचना प्रौद्योगिकी में
speaker_900_0118	हमे दवाओं की जल्दी खोज और मूल्यांकन करने में मदद कर रही हैं
speaker_900_0119	अधिक सस्ते और अधिक प्रभावी ढंग से
speaker_900_0120	यह मॉडल के लिए पशु परीक्षण के खिलाफ नया अर्थ देता है क्या यह वह नहीं करता है
speaker_900_0121	धन्यवाद तालियाँ
